index,id,group_id,phase_id,trial_phase
1,1,1,1,1
2,1,1,1,2
3,1,1,1,3
4,1,1,1,4
5,1,1,1,5
6,1,1,1,6
7,1,1,1,7
8,1,1,1,8
9,1,1,1,9
10,1,1,1,10
11,1,1,1,11
12,1,1,1,12
13,1,1,2,1
14,1,1,2,2
15,1,1,2,3
16,1,1,2,4
17,1,1,2,5
18,1,1,2,6
19,1,1,2,7
20,1,1,2,8
21,1,1,2,9
22,1,1,2,10
23,1,1,2,11
24,1,1,2,12
25,1,1,2,13
26,1,1,2,14
27,1,1,2,15
28,1,1,2,16
29,1,1,2,17
30,1,1,2,18
31,1,1,2,19
32,1,1,2,20
33,1,1,2,21
34,1,1,2,22
35,1,1,2,23
36,1,1,2,24
37,1,1,2,25
38,1,1,2,26
39,1,1,2,27
40,1,1,2,28
41,1,1,2,29
42,1,1,2,30
43,1,1,2,31
44,1,1,2,32
45,1,1,2,33
46,1,1,2,34
47,1,1,2,35
48,1,1,2,36
49,1,1,2,37
50,1,1,2,38
51,1,1,2,39
52,1,1,2,40
53,1,1,2,41
54,1,1,2,42
55,1,1,2,43
56,1,1,2,44
57,1,1,2,45
58,1,1,2,46
59,1,1,2,47
60,1,1,2,48
61,1,1,2,49
62,1,1,2,50
63,1,1,2,51
64,1,1,2,52
65,1,1,2,53
66,1,1,2,54
67,1,1,2,55
68,1,1,2,56
69,1,1,2,57
70,1,1,2,58
71,1,1,2,59
72,1,1,2,60
73,1,1,2,61
74,1,1,2,62
75,1,1,2,63
76,1,1,2,64
77,1,1,2,65
78,1,1,2,66
79,1,1,2,67
80,1,1,2,68
81,1,1,2,69
82,1,1,2,70
83,1,1,2,71
84,1,1,2,72
85,1,1,3,1
86,1,1,3,2
87,1,1,3,3
88,1,1,3,4
89,1,1,3,5
90,1,1,3,6
91,1,1,3,7
92,1,1,3,8
93,1,1,3,9
94,1,1,3,10
95,1,1,3,11
96,1,1,3,12
97,1,1,4,1
98,1,1,4,2
99,1,1,4,3
100,1,1,4,4
101,1,1,4,5
102,1,1,4,6
103,1,1,4,7
104,1,1,4,8
105,1,1,4,9
106,1,1,4,10
107,1,1,4,11
108,1,1,4,12
109,2,1,1,1
110,2,1,1,2
111,2,1,1,3
112,2,1,1,4
113,2,1,1,5
114,2,1,1,6
115,2,1,1,7
116,2,1,1,8
117,2,1,1,9
118,2,1,1,10
119,2,1,1,11
120,2,1,1,12
121,2,1,2,1
122,2,1,2,2
123,2,1,2,3
124,2,1,2,4
125,2,1,2,5
126,2,1,2,6
127,2,1,2,7
128,2,1,2,8
129,2,1,2,9
130,2,1,2,10
131,2,1,2,11
132,2,1,2,12
133,2,1,2,13
134,2,1,2,14
135,2,1,2,15
136,2,1,2,16
137,2,1,2,17
138,2,1,2,18
139,2,1,2,19
140,2,1,2,20
141,2,1,2,21
142,2,1,2,22
143,2,1,2,23
144,2,1,2,24
145,2,1,2,25
146,2,1,2,26
147,2,1,2,27
148,2,1,2,28
149,2,1,2,29
150,2,1,2,30
151,2,1,2,31
152,2,1,2,32
153,2,1,2,33
154,2,1,2,34
155,2,1,2,35
156,2,1,2,36
157,2,1,2,37
158,2,1,2,38
159,2,1,2,39
160,2,1,2,40
161,2,1,2,41
162,2,1,2,42
163,2,1,2,43
164,2,1,2,44
165,2,1,2,45
166,2,1,2,46
167,2,1,2,47
168,2,1,2,48
169,2,1,2,49
170,2,1,2,50
171,2,1,2,51
172,2,1,2,52
173,2,1,2,53
174,2,1,2,54
175,2,1,2,55
176,2,1,2,56
177,2,1,2,57
178,2,1,2,58
179,2,1,2,59
180,2,1,2,60
181,2,1,2,61
182,2,1,2,62
183,2,1,2,63
184,2,1,2,64
185,2,1,2,65
186,2,1,2,66
187,2,1,2,67
188,2,1,2,68
189,2,1,2,69
190,2,1,2,70
191,2,1,2,71
192,2,1,2,72
193,2,1,3,1
194,2,1,3,2
195,2,1,3,3
196,2,1,3,4
197,2,1,3,5
198,2,1,3,6
199,2,1,3,7
200,2,1,3,8
201,2,1,3,9
202,2,1,3,10
203,2,1,3,11
204,2,1,3,12
205,2,1,4,1
206,2,1,4,2
207,2,1,4,3
208,2,1,4,4
209,2,1,4,5
210,2,1,4,6
211,2,1,4,7
212,2,1,4,8
213,2,1,4,9
214,2,1,4,10
215,2,1,4,11
216,2,1,4,12
217,3,1,0,1
218,3,1,0,2
219,3,1,0,3
220,3,1,0,4
221,3,1,0,5
222,3,1,0,6
223,3,1,0,7
224,3,1,0,8
225,3,1,0,9
226,3,1,0,10
227,3,1,0,11
228,3,1,0,12
229,3,1,2,1
230,3,1,2,2
231,3,1,2,3
232,3,1,2,4
233,3,1,2,5
234,3,1,2,6
235,3,1,2,7
236,3,1,2,8
237,3,1,2,9
238,3,1,2,10
239,3,1,2,11
240,3,1,2,12
241,3,1,2,13
242,3,1,2,14
243,3,1,2,15
244,3,1,2,16
245,3,1,2,17
246,3,1,2,18
247,3,1,2,19
248,3,1,2,20
249,3,1,2,21
250,3,1,2,22
251,3,1,2,23
252,3,1,2,24
253,3,1,2,25
254,3,1,2,26
255,3,1,2,27
256,3,1,2,28
257,3,1,2,29
258,3,1,2,30
259,3,1,2,31
260,3,1,2,32
261,3,1,2,33
262,3,1,2,34
263,3,1,2,35
264,3,1,2,36
265,3,1,2,37
266,3,1,2,38
267,3,1,2,39
268,3,1,2,40
269,3,1,2,41
270,3,1,2,42
271,3,1,2,43
272,3,1,2,44
273,3,1,2,45
274,3,1,2,46
275,3,1,2,47
276,3,1,2,48
277,3,1,2,49
278,3,1,2,50
279,3,1,2,51
280,3,1,2,52
281,3,1,2,53
282,3,1,2,54
283,3,1,2,55
284,3,1,2,56
285,3,1,2,57
286,3,1,2,58
287,3,1,2,59
288,3,1,2,60
289,3,1,2,61
290,3,1,2,62
291,3,1,2,63
292,3,1,2,64
293,3,1,2,65
294,3,1,2,66
295,3,1,2,67
296,3,1,2,68
297,3,1,2,69
298,3,1,2,70
299,3,1,2,71
300,3,1,2,72
301,3,1,3,1
302,3,1,3,2
303,3,1,3,3
304,3,1,3,4
305,3,1,3,5
306,3,1,3,6
307,3,1,3,7
